Property,R2,MAE,RMSE,N
Tg,0.16374778747558594,76.44358825683594,100.11607033370068,48
FFV,-1.7246074676513672,0.03551506996154785,0.04338615912262583,703
Tc,-0.45894479751586914,0.08519349247217178,0.1040799664253011,74
Density,-0.9431799650192261,0.13530054688453674,0.16811944611143365,64
Rg,-0.0608668327331543,4.094714641571045,4.818077917271007,65
